Timestamp,LeftVelocity,RightVelocity,PoseRotationDeg,PoseTransY,PoseTransX,PoseTransNorm,Heading,RightWheelSpeed,LeftWheelSpeed,LeftDistanceMeters,RightDistanceMeters,XValue,YValue,Found,motor 1 speed,motor 2 speed,motor 3 speed
5.629697,0.0,0.0,0.0,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
5.824253,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
5.843393,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
5.871519,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
5.893888,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
5.922509,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
5.937867,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
5.954301,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
5.969719,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
5.98704,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.009055,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.024436,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.050206,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.065604,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.078418,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.091988,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.105984,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.1207,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.143576,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.157972,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
6.181451,0.0,0.0,-9.710000038146974,0.0,0.0,0.0,-9.710000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
