Timestamp,LeftVelocity,RightVelocity,PoseRotationDeg,PoseTransY,PoseTransX,PoseTransNorm,Heading,RightWheelSpeed,LeftWheelSpeed,LeftDistanceMeters,RightDistanceMeters,XValue,YValue,Found,VisionHeight,motor 1 speed,motor 2 speed,motor 3 speed
313.237693,-0.036909410875497796,-0.011838723047041276,-81.44999694824219,-0.29672200181508407,1.2643875303011924,1.2987377614985636,-81.0,-0.011838723047041276,-0.036909410875497796,-3.037778509594608,-0.6219097123842512,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
313.25524,-0.03326247770780583,-0.029797234400434858,-81.0,-0.2928231730042567,1.2637857014433092,1.2972662447704548,-81.01000213623047,-0.029797234400434858,-0.03326247770780583,-3.0383629562747925,-0.6224357143964172,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
313.263712,-0.03747173688430014,-0.02141997444338002,-81.01000213623047,-0.2922170508977503,1.26368975536455,1.2970360837882249,-81.01000213623047,-0.02141997444338002,-0.03747173688430014,-3.0386551796148846,-0.6226110484004725,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
313.275513,-0.043188773602891535,-0.017783052230027175,-81.0,-0.2919284213232234,1.263644066755617,1.2969265710220235,-81.0,-0.017783052230027175,-0.043188773602891535,-3.0391227369590323,-0.6227863824045279,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
313.283259,-0.03621836368441163,-0.014171668146225901,-81.0,-0.29169752085453626,1.2636074957141132,1.2968389826410893,-80.94999694824219,-0.014171668146225901,-0.03621836368441163,-3.0394149602991245,-0.6228448270725463,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
313.2901,-0.03020259704971632,-0.011574490825649972,-80.94999694824219,-0.29155321805373846,1.2635845758439008,1.2967841991897116,-80.94999694824219,-0.011574490825649972,-0.03020259704971632,-3.0395902943031796,-0.6229617164085832,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
313.297586,-0.023841342913617905,-0.02060786150339794,-80.94999694824219,-0.29140892526338985,1.2635615930073254,1.29672937078111,-80.94999694824219,-0.02060786150339794,-0.023841342913617905,-3.039765628307235,-0.6231370504126384,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
313.305167,-0.020475021092051564,-0.02103243519644555,-80.91000366210938,-0.2912357835544438,1.263533953174599,1.2966635386435452,-80.91000366210938,-0.02103243519644555,-0.020475021092051564,-3.039882517643272,-0.623195495080657,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
313.31209,-0.015896228012264722,-0.015353660426813676,-80.91000366210938,-0.2911492175267368,1.2635201030449401,1.2966306018543319,-80.91000366210938,-0.015353660426813676,-0.015896228012264722,-3.039999406979309,-0.6232539397486754,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
313.319434,-0.015896228012264722,-0.010027975029598598,-80.91000366210938,-0.29106265149903005,1.2635062529152812,1.2965976701558815,-80.88999938964844,-0.010027975029598598,-0.015896228012264722,-3.039999406979309,-0.6233123844166938,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
