Timestamp,LeftVelocity,RightVelocity,PoseRotationDeg,PoseTransY,PoseTransX,PoseTransNorm,Heading,RightWheelSpeed,LeftWheelSpeed,LeftDistanceMeters,RightDistanceMeters,XValue,YValue,Found,VisionHeight,motor 1 speed,motor 2 speed,motor 3 speed
44.17754,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.188899,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.209591,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.25049,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.263484,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.271039,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.288473,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.308605,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.328756,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2599999904632568,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.3483,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.36845,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2599999904632568,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.388401,0.0,0.0,-1.2599999904632568,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.408392,0.0,0.0,-1.269999980926514,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2599999904632568,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.428415,0.0,0.0,-1.2599999904632568,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2599999904632568,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.448374,0.0,0.0,-1.2599999904632568,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2599999904632568,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.468945,0.0,0.0,-1.2599999904632568,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2599999904632568,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.488944,0.0,0.0,-1.2599999904632568,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2599999904632568,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.508418,0.0,0.0,-1.2599999904632568,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2599999904632568,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.528391,0.0,0.0,-1.2599999904632568,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2599999904632568,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
44.548449,0.0,0.0,-1.2599999904632568,1.1737531403302255E-5,-8.47341150149106E-4,8.474224415127637E-4,-1.2699999809265137,0.0,0.0,-4.675573441475434E-4,-0.0012273380283873015,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
